rollcall,voter_id,name,party,coalition,vote
1256,8030,WADIH MUTRAN,PP,1,1
1256,8075,VAVÁ,PT,1,1
1256,8028,TONINHO PAIVA,PR,0,-1
1256,8039,SENIVAL MOURA,PT,1,1
1256,8027,SANDRA TADEU,DEM,0,1
1256,8074,RICARDO YOUNG,PPS,0,-1
1256,8073,RICARDO NUNES,PMDB,1,1
1256,8072,REIS,PT,1,1
1256,8023,PAULO FRANGE,PTB,1,1
1256,8071,PAULO FIORILO,PT,1,1
1256,8070,PATRÍCIA BEZERRA,PSDB,0,-1
1256,8069,OTA,PROS,0,1
1256,8068,ORLANDO SILVA,PCdoB,1,1
1256,8022,NOEMI NONATO,PROS,0,1
1256,8067,NELO RODOLFO,PMDB,1,1
1256,8066,NABIL BONDUKI,PT,1,1
1256,8042,MARTA COSTA,PSD,0,1
1256,8065,MARQUITO,PTB,1,1
1256,8064,MÁRIO COVAS NETO,PSDB,0,-1
1256,8063,LAÉRCIO BENKO,PHS,0,1
1256,8046,JULIANA CARDOSO,PT,1,1
1256,8016,JOSÉ POLICE NETO,PSD,0,1
1256,8045,JOSE AMERICO,PT,1,1
1256,8062,JEAN MADEIRA,PRB,0,1
1256,8061,JAIR TATTO,PT,1,1
1256,8014,GOULART,PSD,0,1
1256,8044,GILSON BARRETO,PSDB,0,-1
1256,8060,GEORGE HATO,PMDB,1,1
1256,8013,FLORIANO PESARO,PSDB,0,-1
1256,8059,EDUARDO TUMA,PSDB,0,-1
1256,8012,EDIR SALES,PSD,0,1
1256,8058,PR. EDEMILSON CHAVES,PP,1,1
1256,8010,DAVID SOARES,PSD,0,1
1256,8057,CORONEL TELHADA,PSDB,0,-1
1256,8056,CORONEL CAMILO,PSD,0,1
1256,8055,CONTE LOPES,PTB,1,1
1256,8006,CLAUDINHO DE SOUZA,PSDB,0,-1
1256,8054,CALVO,PMDB,1,1
1256,8033,AURELIO NOMURA,PSDB,0,-1
1256,8051,ARSELINO TATTO,PT,1,1
1256,8053,ARI FRIEDENBACH,PROS,0,1
1256,8000,ALFREDINHO,PT,1,1
1256,8052,ALESSANDRO GUEDES,PT,1,1
1261,8075,VAVÁ,PT,1,-1
1261,8077,TONINHO VESPOLI,PSOL,0,-1
1261,8028,TONINHO PAIVA,PR,0,-1
1261,8039,SENIVAL MOURA,PT,1,-1
1261,8027,SANDRA TADEU,DEM,0,-1
1261,8074,RICARDO YOUNG,PPS,0,1
1261,8073,RICARDO NUNES,PMDB,1,-1
1261,8072,REIS,PT,1,-1
1261,8023,PAULO FRANGE,PTB,1,-1
1261,8071,PAULO FIORILO,PT,1,-1
1261,8070,PATRÍCIA BEZERRA,PSDB,0,1
1261,8069,OTA,PROS,0,-1
1261,8068,ORLANDO SILVA,PCdoB,1,-1
1261,8022,NOEMI NONATO,PROS,0,-1
1261,8067,NELO RODOLFO,PMDB,1,-1
1261,8020,NATALINI,PV,0,1
1261,8066,NABIL BONDUKI,PT,1,-1
1261,8042,MARTA COSTA,PSD,0,-1
1261,8065,MARQUITO,PTB,1,-1
1261,8064,MÁRIO COVAS NETO,PSDB,0,1
1261,8018,MARCO AURELIO CUNHA,PSD,0,1
1261,8063,LAÉRCIO BENKO,PHS,0,-1
1261,8046,JULIANA CARDOSO,PT,1,-1
1261,8016,JOSÉ POLICE NETO,PSD,0,-1
